ID,Genes
369,"FBN2, CCA"
370,"MASS1, VLGR1, KIAA0686, FEB4, USH2C"
372,"MMP1, CLG"
372,CPO
374,APOA1
374,"TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2"
374,"TACSTD2, TROP2, M1S1"
376,"TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2"
377,"VSX1, RINX, PPCD, PPD, KTCN"
378,"COL8A2, FECD, PPCD2"
379,"TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2"
380,"TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2"
382,"TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2"
383,"TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2"
383,"PIP5K3, CFD"
384,"KERA, CNA2"
385,"NIPBL, CDLS"
385,"MEF2A, ADCAD1"
388,"ABCA1, ABC1, HDLDT1, TGD"
388,KL
389,"PON1, PON, ESA"
389,PON2
390,"PON1, PON, ESA"
390,"MMP3, STMY1"
391,NOS3
391,IGBP1
392,"NR3C1, GCR, GRL"
392,GDH
394,"HSD11B1, HSD11, HSD11L"
395,HRAS
395,"CYP2A6, CYP2A3, CYP2A, P450C2A"
395,"PTEN, MMAC1"
395,"BMPR1A, ACVRLK3, ALK3"
396,CPT1A
397,CPT2
398,CPT2
399,"SCN4A, HYPP, NAC1A"
400,"VSX1, RINX, PPCD, PPD, KTCN"
400,"PAX3, WS1, HUP2, CDHS"
400,"FGFR2, BEK, CFD1, JWS"
400,"EFNB1, EPLG2, CFNS, CFND"
401,"ANKH, HANK, ANK, CMDJ, CCAL2, CPPDD"
401,"FGFR2, BEK, CFD1, JWS"
401,"MSX2, CRS2, HOX8"
402,"L1CAM, CAML1, HSAS1"
404,"SLC6A8, CRTR"
405,"CAV3, LGMD1C"
406,"CAV3, LGMD1C"
406,"PRNP, PRIP"
406,HLA-DQB1
406,"UGT1A1, UGT1, GNT1"
406,"UGT1A1, UGT1, GNT1"
406,"CARD15, NOD2, IBD1, CD, ACUG, PSORAS1"
406,"DLG5, PDLG, KIAA0583"
406,"FGFR2, BEK, CFD1, JWS"
406,"FGFR3, ACH"
406,"LGR8, GREAT"
406,INSL3
406,"HLXB9, HOXHB9, SCRA1"
406,ELN
406,"FBLN5, ARMD3"
406,"FBLN5, ARMD3"
406,"ATP7A, MNK, MK, OHS"
406,KRT1
406,"CYLD1, CDMT, EAC"
406,CTH
406,"CFTR, ABCC7, CF, MRP7"
406,CTNS
406,CTNS
406,CTNS
406,CTNS
406,"SLC3A1, ATR1, D2H, NBAT"
406,"SLC7A9, CSNU3"
406,"SLC7A9, CSNU3"
406,D2HGD
406,"ATP2A2, ATP2B, DAR"
406,HSD17B4
406,"EYA4, DFNA10, CMD1J"
406,"DIAPH1, DFNA1, LFHL1"
406,"MYO7A, USH1B, DFNB2, DFNA11"
406,"TECTA, DFNA8, DFNA12, DFNB21"
406,"COL11A2, STL3, DFNA13"
406,"POU4F3, BRN3C"
406,"MYH9, MHA, FTNS, DFNA17"
406,"ACTG1, DFNA20, DFNA26"
406,"MYO6, DFNA22, DFNB37"
406,"GJB3, CX31, DFNA2"
406,"KCNQ4, DFNA2"
406,"TFCP2L3, DFNA28"
406,"GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID"
406,"GJB6, CX30, DFNA3, HED, ED2"
